build	component	file	expected_sha256	observed_sha256	status	rows_expected	rows_observed	differing_numeric_cells	max_absolute_difference
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__intrinsic_only__r001__s1__DEFAULT.tsv	586dc6c9169ec7ad140d1c27cf98699488333efc3d896d4f22cd4042ebfa2a74	586dc6c9169ec7ad140d1c27cf98699488333efc3d896d4f22cd4042ebfa2a74	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__intrinsic_only__r001__s1__LONG.tsv	800819fa416cd9ae75244789d411f7613cc42b587c2da9aed2e694c2a9350832	800819fa416cd9ae75244789d411f7613cc42b587c2da9aed2e694c2a9350832	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__intrinsic_only__r001__s2__DEFAULT.tsv	b70358122cdf5e632a2c5112a475bf3a410e10cd75bae0f36fe8d3cb0e760575	b70358122cdf5e632a2c5112a475bf3a410e10cd75bae0f36fe8d3cb0e760575	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__intrinsic_only__r001__s2__LONG.tsv	0cb18db2b85ba6f4757595cabd3e87aecadd642975ea9d5056f668a9828fdbd4	0cb18db2b85ba6f4757595cabd3e87aecadd642975ea9d5056f668a9828fdbd4	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__intrinsic_only__r002__s1__DEFAULT.tsv	201875e69d29aa3aca92a577b8a7c805f0a35850d5280c277dde5009d88129a3	201875e69d29aa3aca92a577b8a7c805f0a35850d5280c277dde5009d88129a3	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__intrinsic_only__r002__s1__LONG.tsv	75a3455c8e9cc4c8da4a6e81fe0ee6698a31280ce6289b0f54fb33271a9b217c	75a3455c8e9cc4c8da4a6e81fe0ee6698a31280ce6289b0f54fb33271a9b217c	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__intrinsic_only__r002__s2__DEFAULT.tsv	3fdd1eb6e2b70fea2ffe1c60df2186db46b5437a69c392e46012aea72b809c42	3fdd1eb6e2b70fea2ffe1c60df2186db46b5437a69c392e46012aea72b809c42	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__intrinsic_only__r002__s2__LONG.tsv	197feb16a451f0a34211ce5378b19712b6c1859a24b9f76a059f80d15820e1cd	197feb16a451f0a34211ce5378b19712b6c1859a24b9f76a059f80d15820e1cd	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__null__r001__s1__DEFAULT.tsv	e9e9432f520582512d59142f769fe725fab7b3254335cf3dd9e3216f6aabb537	e9e9432f520582512d59142f769fe725fab7b3254335cf3dd9e3216f6aabb537	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__null__r001__s1__LONG.tsv	8455d3c7078822607e424c9c4a5f86dc91109968fd31814eeeb290572b159c20	8455d3c7078822607e424c9c4a5f86dc91109968fd31814eeeb290572b159c20	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__null__r001__s2__DEFAULT.tsv	0f57a37690d516229672b90618dde1c6fc3db28067504761ee11cad242fc9d34	0f57a37690d516229672b90618dde1c6fc3db28067504761ee11cad242fc9d34	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__null__r001__s2__LONG.tsv	a1cf35b5f7242df4d9a010bc3e539c03c26e0c8e527dea57c92be39e07d94376	a1cf35b5f7242df4d9a010bc3e539c03c26e0c8e527dea57c92be39e07d94376	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__null__r002__s1__DEFAULT.tsv	1cf55bcee565c0f40297b40cce3d9e821ea3ae69f644c94ef36d95b82cf46a03	1cf55bcee565c0f40297b40cce3d9e821ea3ae69f644c94ef36d95b82cf46a03	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__null__r002__s1__LONG.tsv	d40b5dd21ac846d4e2446927c5003074c76d730b49ba74f65892e25a059b4fc5	d40b5dd21ac846d4e2446927c5003074c76d730b49ba74f65892e25a059b4fc5	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__null__r002__s2__DEFAULT.tsv	1dbde5cbda78aecf2131a9381cbd073e66c0678a6e9a4d032196e826662f6edb	1dbde5cbda78aecf2131a9381cbd073e66c0678a6e9a4d032196e826662f6edb	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	JOB_DIAGNOSTICS/DIAG__EPIC__null__r002__s2__LONG.tsv	0e9cc446c8e6fce6eb5562a2d2a367f62d1636b9a8c052b38589e962cd7c4022	0e9cc446c8e6fce6eb5562a2d2a367f62d1636b9a8c052b38589e962cd7c4022	BYTE_IDENTICAL	6820	6820	0	0.0
A	diagnostics	POSTERIOR_SUMMARIES_LONG.tsv	161ca275462160a3adaf3ca6d48b37c0cdb1431361673de7e4a074f2bdcbc0ac	161ca275462160a3adaf3ca6d48b37c0cdb1431361673de7e4a074f2bdcbc0ac	BYTE_IDENTICAL	163680	163680	0	0.0
A	diagnostics	SUMMARIES/NUMERICAL_DIAGNOSTIC_COVERAGE.tsv	814e2b9a1335297b396f4229d62061e68e3726b2268c668fcfb331010758bf91	814e2b9a1335297b396f4229d62061e68e3726b2268c668fcfb331010758bf91	BYTE_IDENTICAL	72	72	0	0.0
A	diagnostics	SUMMARIES/POSTERIOR_LENGTH_COMPARISON.tsv	2a5d0946578e6ddad499320bb1da385bdf19ef83f3da5ce39aef233e2fe00696	2a5d0946578e6ddad499320bb1da385bdf19ef83f3da5ce39aef233e2fe00696	BYTE_IDENTICAL	81840	81840	0	0.0
B	simulation	COMMON_RETURNED_UNIVERSE.tsv	abf56c12a6f3c98de574cc77d047285b6b25105f85dcddc25027dc85456cd872	abf56c12a6f3c98de574cc77d047285b6b25105f85dcddc25027dc85456cd872	BYTE_IDENTICAL	240000	240000	0	0.0
B	simulation	DESIGN_CHANGE_STRATA.tsv	9b09bf01e1f28701d562fa53a79a7a90c189ad9d0631321510428eedb24a5b22	9b09bf01e1f28701d562fa53a79a7a90c189ad9d0631321510428eedb24a5b22	BYTE_IDENTICAL	480	480	0	0.0
B	simulation	GENE_RANK_RECOVERY_LONG.tsv	95bc8283f4a7c672bcbec3314117b0af6910e72048c8dc430b557aebda1a731d	95bc8283f4a7c672bcbec3314117b0af6910e72048c8dc430b557aebda1a731d	BYTE_IDENTICAL	691200	691200	0	0.0
B	simulation	INHERITED_SIMULATION_CLASS_RECALL_COVERAGE.tsv	4b4f90faf9ab361005316c885732b010c139e838d8c95f8a9c953a47f6f010ad	4b4f90faf9ab361005316c885732b010c139e838d8c95f8a9c953a47f6f010ad	BYTE_IDENTICAL	84	84	0	0.0
B	simulation	INHERITED_SIMULATION_CONFUSION_MATRIX.tsv	8b015c13a312b92978c19a6fd487361b3b1ac5dcde1ac1f7e293f457bfac3be3	8b015c13a312b92978c19a6fd487361b3b1ac5dcde1ac1f7e293f457bfac3be3	BYTE_IDENTICAL	336	336	0	0.0
B	simulation	INHERITED_SIMULATION_DIRECTION_RECORDS.tsv	4c6204f4ffbd1545bda63056babede39df9e0633f379053a45b8e303937336eb	4c6204f4ffbd1545bda63056babede39df9e0633f379053a45b8e303937336eb	BYTE_IDENTICAL	1920	1920	0	0.0
B	simulation	INHERITED_SIMULATION_DIRECTION_SUMMARY.tsv	e19e49f11871df7b22960f51c359d837d036a2b89132ca699e1267866344c30a	e19e49f11871df7b22960f51c359d837d036a2b89132ca699e1267866344c30a	BYTE_IDENTICAL	28	28	0	0.0
B	simulation	INHERITED_SIMULATION_SIGNAL_SOURCE_ROWS.tsv	5310041f9405ce804688d309485fbbf94e4afb8c85dae2777b1a4b6f60cbac13	5310041f9405ce804688d309485fbbf94e4afb8c85dae2777b1a4b6f60cbac13	BYTE_IDENTICAL	1440	1440	0	0.0
B	simulation	METHOD_AVAILABILITY.tsv	1298f28f65832e8f4f853bcaa8e892821f2d8d9d699398d6affa0ad6084370f2	1298f28f65832e8f4f853bcaa8e892821f2d8d9d699398d6affa0ad6084370f2	BYTE_IDENTICAL	720	720	0	0.0
B	simulation	SAME_SCALE_ERROR_LONG.tsv	63b43c9402f685ee602a25ebac4910604965d7cf04ecb83e58420dbde5d01947	63b43c9402f685ee602a25ebac4910604965d7cf04ecb83e58420dbde5d01947	BYTE_IDENTICAL	806400	806400	0	0.0
B	simulation	SCALE_SPECIFIC_CONTRAST_LONG.tsv	1509087fcff6baf2d42861b0bb835c602d14ea27ad004bde6595ebf6aa8c4cde	1509087fcff6baf2d42861b0bb835c602d14ea27ad004bde6595ebf6aa8c4cde	BYTE_IDENTICAL	20160	20160	0	0.0
B	simulation	SCALE_SPECIFIC_DIRECTION_LONG.tsv	3e9d7484448cc8ae077d775e7e66fc528fd295ae90560003dddd2b4e12793769	3e9d7484448cc8ae077d775e7e66fc528fd295ae90560003dddd2b4e12793769	BYTE_IDENTICAL	8640	8640	0	0.0
B	simulation	SUMMARIES/CLASS_RECALL_AND_COVERAGE.tsv	d9b542de854bcd8bdb2b3eb2fbcef71fb8c3125aba468abcad25b3b4d30a6ded	d9b542de854bcd8bdb2b3eb2fbcef71fb8c3125aba468abcad25b3b4d30a6ded	BYTE_IDENTICAL	378	378	0	0.0
B	simulation	SUMMARIES/CONTRAST_SCENARIO.tsv	87514d1950a4b90845b5471d1278bc565cca2a636c86c51f7f95936a462b826d	87514d1950a4b90845b5471d1278bc565cca2a636c86c51f7f95936a462b826d	BYTE_IDENTICAL	420	420	0	0.0
B	simulation	SUMMARIES/CONTRAST_UNIT.tsv	8bc2b0d63cce3068894c27b62ea0b03432c5531d4905c04d74a6143f2d371a9d	8bc2b0d63cce3068894c27b62ea0b03432c5531d4905c04d74a6143f2d371a9d	BYTE_IDENTICAL	8400	8400	0	0.0
B	simulation	SUMMARIES/DIRECTION_ACCURACY_AND_COVERAGE.tsv	888bdb84d738e827b5e6f3964315e7a73c8c9d504ec52747679b70ddf5893293	888bdb84d738e827b5e6f3964315e7a73c8c9d504ec52747679b70ddf5893293	BYTE_IDENTICAL	126	126	0	0.0
B	simulation	SUMMARIES/METHOD_AVAILABILITY_SUMMARY.tsv	c53ba03527fffdba384592d5ba185e8df9d575c59c0beec90d71194cb786a2b6	c53ba03527fffdba384592d5ba185e8df9d575c59c0beec90d71194cb786a2b6	BYTE_IDENTICAL	36	36	0	0.0
B	simulation	SUMMARIES/RANK_CELLTYPE_GROUPBALANCED.tsv	64a41f1c90413fac72df6607c5578157b7ce204a9692d62dccc676d1d1ad08bb	64a41f1c90413fac72df6607c5578157b7ce204a9692d62dccc676d1d1ad08bb	BYTE_IDENTICAL	17280	17280	0	0.0
B	simulation	SUMMARIES/RANK_PAIRED_BASELINE_SCENARIO.tsv	fe126eeb47ab5444ef92c410246d8ea7423438f513191978a8c79e014ec9cf5b	fe126eeb47ab5444ef92c410246d8ea7423438f513191978a8c79e014ec9cf5b	BYTE_IDENTICAL	360	360	0	0.0
B	simulation	SUMMARIES/RANK_PAIRED_BASELINE_UNIT.tsv	d78f1a5fc4b10619ea7bafc0d7bc78a9318aa4adf539ab85083204c899f7ddda	d78f1a5fc4b10619ea7bafc0d7bc78a9318aa4adf539ab85083204c899f7ddda	BYTE_IDENTICAL	7200	7200	0	0.0
B	simulation	SUMMARIES/RANK_SCENARIO_DISTRIBUTION.tsv	2f77b1f32290cefb1c360794d87083f7eb459b7d7bf3324883cda54a38242f60	2f77b1f32290cefb1c360794d87083f7eb459b7d7bf3324883cda54a38242f60	BYTE_IDENTICAL	216	216	0	0.0
B	simulation	SUMMARIES/RANK_UNIT_SUMMARY.tsv	6502315a2579b289a72fad256521af0f2a4d7320506bbd69c951da0512ccf1c9	6502315a2579b289a72fad256521af0f2a4d7320506bbd69c951da0512ccf1c9	BYTE_IDENTICAL	4320	4320	0	0.0
B	simulation	SUMMARIES/SAME_SCALE_ERROR_SCENARIO.tsv	4c02585056aee62b54361f5cb05d836e1cfec4a607e7dd49732c9d220f1d0b6c	4c02585056aee62b54361f5cb05d836e1cfec4a607e7dd49732c9d220f1d0b6c	BYTE_IDENTICAL	504	504	0	0.0
B	simulation	SUMMARIES/SAME_SCALE_ERROR_UNIT.tsv	06fe985d5d683825ae05c32119b1f1f58dc57d16b24f786dab67c34ca7d69d7a	06fe985d5d683825ae05c32119b1f1f58dc57d16b24f786dab67c34ca7d69d7a	BYTE_IDENTICAL	10080	10080	0	0.0
B	simulation	SUMMARIES/THREE_CLASS_CONFUSION_MATRIX.tsv	476bf1128ed8223f9dcbfadf2735b476ed46dd59318638562e01830a2251618e	476bf1128ed8223f9dcbfadf2735b476ed46dd59318638562e01830a2251618e	BYTE_IDENTICAL	1512	1512	0	0.0
B	reference	DESIGN_CHANGE_STRATA.tsv	87514f622dc90e7ce1b8c96815674a87cec4bfb9bb1d0af5690d009b8cf65ac6	87514f622dc90e7ce1b8c96815674a87cec4bfb9bb1d0af5690d009b8cf65ac6	BYTE_IDENTICAL	960	960	0	0.0
